reviewId,text
ChdDSUhNMG9nS0VJQ0FnSUMtcjlLRXF3RRAB,I loved the chorizo tacos this week.  All of your meals have been great!  I am so glad I learned about Clean Slate.
ChdDSUhNMG9nS0VJQ0FnSUNldWEtTHF3RRAB,Phenomenal food. I have the best lunches!
ChZDSUhNMG9nS0VJQ0FnSURPbUppU0lnEAE,"Great food for busy people! I'm a meal prep kind of guy, so this service is perfect for office or WFH."
ChdDSUhNMG9nS0VJQ0FnSUNHeVBDTm5BRRAB,Great people and great food!
ChZDSUhNMG9nS0VJQ0FnSUNHc0pIUlZnEAE,
ChdDSUhNMG9nS0VJQ0FnSUNHc05MLTV3RRAB,"My compliments to Dylan and his crew! We just attended an event that was catered by Clean Slate. The food was absolutely amazing! The meat choices were well prepared and very tender, and everything was very flavorful!"
ChZDSUhNMG9nS0VJQ0FnSUQ2X0lhbFlREAE,Not the quality of food my girlfriend and I were hoping for. We tried a few different weeks and some items were OK like the steak quinoa but some were not for us we don't like soggy food. We weren't sure how the items are intended to last multiple days. Also had problems with the delivery to Omaha food may have been sitting out too long and just seemed handled unprofessional.
ChZDSUhNMG9nS0VJQ0FnSUM2eWJPdkx3EAE,"Absolutely love their food. They can even make things gluten-free as per your request, so if you have a gluten allergy like me but also don't have time to make a decent meal during the week, these guys are for you! I've never been disappointed by their food and love the diversity of it all. Highly recommend."
ChdDSUhNMG9nS0VJQ0FnSURxaElXY3dBRRAB,"I have been ordering the plant based meals from Clean Slate on and off for nearly a year. After all the deliveries, I can only think of one meal I did not care for......only 1 out of several! That's pretty amazing if you ask me! The customer service is prompt. The delivery drivers have ALWAYS been friendly. I would highly recommend Clean Slate!"
ChZDSUhNMG9nS0VJQ0FnSUNxcElMcEdnEAE,
ChdDSUhNMG9nS0VJQ0FnSUR5b2JhWnVRRRAB,"I love absolutely everything about Clean Slate Food Co. Great customer service, awesome variety, and super healthy options. I also like that everything’s already cooked and ready to go, so all you have to do is warm it up. For someone like me who is trying to eat healthier but hates cooking, this is such an excellent option. You definitely get your money’s worth with this, and you’re supporting local. I’d highly recommend this to anyone who wants to eat better, without all the hassle."
ChZDSUhNMG9nS0VJQ0FnSUR5OHVXMlJBEAE,I have tried a lot of these types of services and am always let down. Clean slate food is doing something different it seems like they actually want me to like the meal I am eating. Thank you!
ChZDSUhNMG9nS0VJQ0FnSURDM3RPUEx3EAE,"I just ordered my second round of meals and I'm just loving the variety Clean Slate has to offer. Eating healthy and not cooking is my jam! :)

Thanks Clean Slate for the delicious quality meals. Looking forward to having more Clean Slate Food meals!"
ChZDSUhNMG9nS0VJQ0FnSUNDbC1la1pnEAE,I subscribe to their awesome weekly meal delivery service. Great variety of food and attention to detail. The owners are very nice. I really enjoy not worrying about prepping and making lunch for the weekdays because of Clean Slate. We have also done catering which was great. Highly recommend!
ChZDSUhNMG9nS0VJQ0FnSUNDbnZER1p3EAE,"We’ve used clean slate for our weekly meals and they’re always creative, delicious and the portions leave us content! They’ve catered our wedding and the food not only exceeded our expectations but it was beautiful to look at! They recently catered a private event for us and Jamen was professional, kind and went above and beyond to make sure everything was perfect. I really appreciate their prompt response and creative menus. 10/10 would HIGHLY recommend!!"
ChdDSUhNMG9nS0VJQ0FnSUNDa3FPQ2pBRRAB,Clean Slate has never disappointed. Each meal is a 10/10. It saves me so much time during busy weeks when I don’t want to cook. It’s also way more nutritious than a fast food drive thru. It’s even more convenient because it’s delivered to your home!!
ChZDSUhNMG9nS0VJQ0FnSURjd05lM1p3EAE,Have ordered Clean Slate for myself a few times and as a gift for family during holidays and birthdays. Perfect gift. Their food is always better than anything I can cook at home for a reasonable price. Best catered food I think people can get in the area.
