reviewId,text
ChZDSUhNMG9nS0VJQ0FnSUM3cXBIM0hREAE,Delicious food and lots of options! The vibe of MOLO is unmatched
ChZDSUhNMG9nS0VJQ0FnSUM3OHBHN2RnEAE,The food was good but when I was eating the bbq cauliflower wings there was a long hair under one of them. I know it was not mine. So gross. Please wear hairnets I didn’t want to finish the meal and it was so expensive. The restaurant was already closed by the time i got home with my food so I couldn’t call but please be aware.
ChZDSUhNMG9nS0VJQ0FnSURibWFpVEhREAE,"Quality keeps going down, i always think it will turn around, or at least stay at the same quality, but everytime I go back it gets worse. From burnt, to barely cooked, to big straight ripped off…. It has come to the point I don’t think I will ever order again. So sad to lose a vegan restaurant…."
ChZDSUhNMG9nS0VJQ0FnSURiaWZTeE5BEAE,"I'm not a vegetarian but I love the food here. So fresh and so tasty. I got a burger and a side of fries to go and everything was delicious! The hot honey drizzle was amazing, as were the fries that were seasoned to perfection. 🍯"
ChdDSUhNMG9nS0VJQ0FnSURieXZqQ3ZBRRAB,"The staff is amazing but the food is even better. I had the Caesar salad, it was so amazing with fresh capers and homemade cheese- the portions were generous and it was gone before I knew it. The staff was so nice, the waiter recently made full time and his birthday was today- he seemed very happy to be there, and assured me that he was going to celebrate."
ChZDSUhNMG9nS0VJQ0FnSURibktqVUpnEAE,Love this place. The food is incredible. The employees are even better. A regular stop every time I'm in Omaha.
ChdDSUhNMG9nS0VJQ0FnSURiMUtfWWxBRRAB,
ChdDSUhNMG9nS0VJQ0FnSUNiZ2JYNHB3RRAB,"Fantastic vegan full of flavor food

Very nice decor
Very clean
Nice music
Nice staff
Excellent fast service"
ChZDSUhNMG9nS0VJQ0FnSURyNzhUbFlBEAE,Food was good. I wanted more flavor overall. The nachos were excellent.
ChdDSUhNMG9nS0VJQ0FnSUM5dXJyRTlRRRAB,"""This vegan restaurant is super nice! The food and drinks are awesome, with flavors that really stand out. It's an upscale place, but it still feels relaxed and welcoming. The views are great, adding to the whole experience. Whether you're going for a special occasion or just a nice night out, this place won't disappoint. The atmosphere, the tasty vegan dishes, and the overall vibe make it a spot you’ll want to come back to again and again."""
ChdDSUhNMG9nS0VJQ0FnSURybUt6MTRBRRAB,
ChZDSUhNMG9nS0VJQ0FnSUNyaDkzdE9nEAE,No customer  service had to call  restaurant to get help from employee no manager only one employee  and cook. Cook came UT and didn't talk to any customer. Don't see restaurant lasting long if the keep go this way.
ChZDSUhNMG9nS0VJQ0FnSURobE9hTWJnEAE,"I ate here over a year ago and I thought the food was good and I actually gave it five stars at that time, but I returned a couple of days ago and ordered the mushroom Swizz burger and it was just horrible. The entire Patty was burned completely black, and they actually even burned the inside of the hamburger bun. See the pictures. Also, the fries are not fresh. They are so heavily filled with oil and very dry and heavily salted, like they've just been kept in the fryer for way too long. I couldn't eat about 3/4 of them. I asked for a lime sparkling water, and thought it was just going to be lime flavored sparkling water. Instead, it was filled with so much lime juice and was so bitter it wasn't drinkable. When I got to the restaurant with my son, no one was at the front greeting customers, and after we arrived several other customers arrived, and still no one had shown up after five minutes to greet any of the customers. I literally had to go search the restaurant for someone to seat us and the other people. I've never had such a bad experience at a vegan restaurant. Even sn impossible burger at Burger King is better than the food that I paid over $50 here. The quality of the food does not merit the price charged.  I would never come back here again. I forgot to mention that the bathrooms are almost completely dark. They have one little light on over the sink but the entire stall of the bathroom is in darkness which if someone is older and they can't see well could really pose a hazard. This is so unacceptable see photos."
ChdDSUhNMG9nS0VJQ0FnSUNyX3NUTjRnRRAB,"Outstanding vegan restaurant! Awesome kale salad, chickpea cutlet Parmesan, tofu rancheros, chocolate swirl shake."
ChdDSUhNMG9nS0VJQ0FnSUNyN3VhaHZnRRAB,"We arrived at 530pm on a weekday. Our party booked ahead and had 2 fettuccine with the chickpea chix addition, eggplant parm, 2 of the mushroom mashed potato dish, some kind of salad with grilled tofu.

Pros - vegan, good variety, friendly staff, not busy at all, food seemed to come in a timely manner, most of the food looked and tasted good if you didn't eat too much ... and even though I live elsewhere, this is near my dad's house.

Cons - I rarely have heartburn but I had it that night and the next morning ... boo! There was a lot of heavy food (fried and/or with a rich sauce) - most of it tasted really good (the grilled tofu tasted burnt) but was so heavy it was difficult to eat until full; either the oil was off or the food was fried too long (??? something wasn't right); the staff did zero pre-busing, so all of our empty plates and cups sat there while we visited after the meal - it's like they forgot about us. And, in my opinion, the atmosphere has unappetizing colors.

Because of the heartburn reaction, I probably will not be coming back. In the future, I might try again but find something that isn't covered in sauce or fried ... or with the burnt-tasting grilled tofu."
ChdDSUhNMG9nS0VJQ0FnSUNyLXJPLXFBRRAB,Fantastic food: The hot new chicken and nachos were amazing; the kale salad a little too salty. Service was hit and miss; the guy leaving his shift completely ignored me while the lady who just got there was the nicest and gave me fantastic service. It looked clean but bathrooms were dark with a sticky floor. I would eat here again (that sandwich!) but just as likely to try other vegan restaurants in town next time. Parking and construction is also an issue; you can choose the garage and get validated.
ChZDSUhNMG9nS0VJQ0FnSUNyeXV2dkxBEAE,
ChZDSUhNMG9nS0VJQ0FnSUNyOHZtbkJBEAE,"One of the few places in town with a wide range of food options for dietary restrictions (e.g. vegetarian, vegan, GF, DF). Can be a bit pricey but is a great option for a date night or to try something new and local!"
ChdDSUhNMG9nS0VJQ0FnSUNyeUpEWnZBRRAB,"I got the hot honee sandwich, which to be fair I got it to go but it was very messy. They didn’t give me any napkins either. I also got the buffalo wings, they were just ok too. Next time I would definitely eat there instead of taking it to go."
ChdDSUhNMG9nS0VJQ0FnSURMaS0tdmdBRRAB,The best things were the Gluten Free Buffalo Wings and garlic Alfredo pasta 😋
ChdDSUhNMG9nS0VJQ0FnSURMaS02S3hBRRAB,
ChdDSUhNMG9nS0VJQ0FnSURMLWRfQXpBRRAB,"We got a pint of their ice cream. While it was delicious, it looks like the workers got extremely lazy when putting it together. My pint was barely filled. Disappointed"
ChdDSUhNMG9nS0VJQ0FnSURMMUxfbm9BRRAB,The food was great and the service was excellent.  The location is great. Inside is cute but a bit hot and the bathrooms were very dark. Will definitely visit again. Butterfly lemonade is great!
ChdDSUhNMG9nS0VJQ0FnSUNMXzVtMXdRRRAB,Awesome and delicious! Great service too
ChZDSUhNMG9nS0VJQ0FnSUNMNmNPU1hREAE,Lovely place
ChZDSUhNMG9nS0VJQ0FnSUNMeWFlS1N3EAE,"This place cares about allergies, especially gluten and dairy. I've never been a Vegan but this place actually had me considering it lol. Their fries are the best!!! I will be back!"
ChZDSUhNMG9nS0VJQ0FnSUNMeG8tTWVnEAE,
ChdDSUhNMG9nS0VJQ0FnSUNxMzlxSzNnRRAB,"Fullfilled the need for vegan food while passing through. Great taste, good portions. My goddess bowl didn't have the pepitas or microgreens though which was disappointing."
ChdDSUhNMG9nS0VJQ0FnSUNMaEoyNF9RRRAB,If you are vegan or enjoy eating vegan. Highly highly recommend. Went with friends and tried several of the entrees and desserts for dinner. There was not a bad taste in the lot. Price was compostable to other all vegan restaurants. They were out of a couple of drinks and one dessert but what we got instead more than made up for it.
ChZDSUhNMG9nS0VJQ0FnSUNMNlBQQVl3EAE,"Super allergy friendly and accommodating, vegan (dairy free), gluten free, drinks where awesome! Big portions too!! Don't remember the last time I've had a shake or Mac and cheese I haven't had to make myself, nachos where to die for, overall excellent vegan cheese"
ChdDSUhNMG9nS0VJQ0FnSUNMa083cXRBRRAB,"From the moment I walked in, I knew I had found something special.  The staff was warm, inviting, and knowledgeable.  I had the opportunity to connect with Liam and every single thing he recommended was absolutely wonderful.  I have been a vegetarian my whole life and this Vegan restaurant is one of the best.  I highly recommend the crispy tofu; it is the best I have ever had."
ChZDSUhNMG9nS0VJQ0FnSUR6dDctRFlBEAE,"I enjoyed my experience.  The food was great, especially for my first vegan meal."
ChZDSUhNMG9nS0VJQ0FnSUR6emFmTEJREAE,A modern vegan eatery with beer and wine options in the city. Great use of different vegan meats to create perfect meals.
ChdDSUhNMG9nS0VJQ0FnSUN6OGVQQnhRRRAB,"Made a trip to Omaha to make a boat purchase. That didn't work out but no regrets -- brunch at Modern Love more than made up for the boat disappointment.
We enjoyed Nachos Molo and the Seitan Beet Reuben which was more than enough for two people. Only suggestion is to request mustard for the Reuben as it could use just a bit more of a flavor kick.
Will definitely return should we be in Omaha again."
ChZDSUhNMG9nS0VJQ0FnSUN6eHZpUlJBEAE,"One of these times I will get something other than the Reuben, but it’s just SO good!"
ChZDSUhNMG9nS0VJQ0FnSUN6MHBEV0ZBEAE,"Food was okay. I love to eat vegan most of the time, but I was a little underwhelmed here. By far the best thing I had was the crispy fried tofu. But the Mac and shews were just ok and definitely felt overpriced.

Also I went home feeling bloated, which is very unusual for me."
ChZDSUhNMG9nS0VJQ0FnSUN6cEp5dE13EAE,Absolutely best vegetarian appetizers and main dishes with a cool vibe and friendly team passionate about delivering an awesome experience.
